state,year,crashType,bus,heavyRigid,articulated,speedLimit,roadUser,gender,age
WA,2021,Multiple,No,No,No,60,Other,Male,52
NSW,2021,Single,No,No,No,70,Pedestrian,Male,17
WA,2021,Multiple,No,No,No,110,Driver,Male,61
Qld,2021,Multiple,No,No,No,70,Pedestrian,Female,31
WA,2021,Multiple,No,No,No,80,Motorcycle,Female,61
NSW,2021,Single,No,No,No,50,Pedestrian,Female,68
NSW,2021,Single,No,No,No,50,Driver,Male,16
Qld,2021,Single,No,No,No,60,Pedestrian,Male,21
WA,2021,Single,No,No,No,80,Driver,Male,23
NSW,2021,Multiple,No,No,No,60,Pedestrian,Female,16
WA,2021,Single,No,No,No,60,Driver,Female,25
NSW,2021,Single,No,No,No,100,Driver,Male,57
NSW,2021,Single,No,No,No,80,Driver,Male,73
NSW,2021,Multiple,No,No,No,60,Motorcycle,Male,29
NSW,2021,Multiple,No,No,No,50,Pedestrian,Male,6
SA,2021,Single,No,No,No,50,Driver,Male,19
SA,2021,Multiple,No,No,No,110,Driver,Male,67
NSW,2021,Multiple,No,No,No,100,Driver,Male,34
WA,2021,Single,No,No,No,110,Driver,Female,61
WA,2021,Multiple,No,No,No,50,Pedestrian,Male,20
Tas,2021,Multiple,No,No,No,100,Motorcycle,Male,58
WA,2021,Single,No,No,No,80,Motorcycle,Male,57
SA,2021,Single,No,No,No,50,Driver,Male,54
NSW,2021,Multiple,No,No,No,100,Driver,Male,44
NSW,2021,Single,No,No,No,100,Motorcycle,Male,50
NSW,2021,Multiple,No,No,No,100,Passenger,Female,62
Qld,2021,Multiple,No,No,No,100,Passenger,Female,22
WA,2021,Single,No,No,No,110,Driver,Male,54
NT,2021,Single,No,No,No,100,Motorcycle,Male,31
SA,2021,Multiple,No,No,No,50,Other,Male,60
WA,2021,Single,No,No,No,50,Motorcycle,Male,46
WA,2021,Single,No,No,No,110,Passenger,Female,17
NSW,2021,Single,No,No,No,100,Driver,Female,38
NSW,2021,Single,No,No,No,100,Driver,Female,72
SA,2021,Single,No,No,No,40,Pedestrian,Male,89
SA,2021,Single,No,No,No,100,Motorcycle,Male,36
Qld,2021,Single,No,No,No,70,Pedestrian,Male,49
WA,2021,Multiple,No,No,No,70,Driver,Male,32
NSW,2021,Single,No,No,No,100,Passenger,Female,18
Qld,2021,Multiple,No,No,No,70,Pedestrian,Male,37
NSW,2021,Multiple,No,No,No,50,Pedestrian,Male,7
NSW,2021,Multiple,No,No,No,50,Driver,Male,64
NSW,2021,Multiple,No,No,No,50,Pedestrian,Male,40
WA,2021,Single,No,No,No,110,Motorcycle,Male,33
WA,2021,Multiple,No,No,No,50,Motorcycle,Male,37
SA,2021,Single,No,No,No,50,Motorcycle,Male,20
WA,2021,Single,No,No,No,110,Driver,Male,22
Qld,2021,Single,No,No,No,100,Driver,Male,24
Tas,2021,Multiple,No,Yes,No,50,Other,Male,4
NSW,2021,Multiple,No,No,No,100,Driver,Female,18
Qld,2021,Single,No,No,No,100,Driver,Male,32
Qld,2021,Multiple,No,No,Yes,60,Motorcycle,Male,35
NT,2021,Single,No,No,No,40,Driver,Male,28
WA,2021,Single,No,No,No,110,Motorcycle,Male,37
WA,2021,Multiple,No,No,No,90,Passenger,Female,61
NSW,2021,Multiple,No,No,No,80,Driver,Male,19
